platform,timestamp,author,author_toxicity,toxicity,knowledge,platform_model name,platform_network name,platform_interval time duration,platform_maximum post inactivity,platform_toxicity threshold,platform_full ban,platform_partial ban,platform_warning,platform_remove content,platform_network ban threshold,platform_network warning threshold,platform_moderation miss probability
2,42,agent_6,0.270481,0.04548969492316246,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,42,agent_7,0.0959302,0.003591367742046714,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,42,agent_7,0.0959302,0.039827194064855576,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,43,agent_1,0.672653,0.05274795740842819,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,44,agent_3,0.255014,0.2540742754936218,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,44,agent_7,0.0959302,0.007321694400161505,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,46,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,47,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,48,agent_9,0.1,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,48,agent_9,0.1,0.0032839954365044832,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,48,agent_7,0.0959302,0.033618174493312836,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,48,agent_7,0.0959302,0.031326040625572205,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,48,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,50,agent_0,0.870639,0.0426945760846138,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,50,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,51,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,55,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,55,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,58,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,59,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,60,agent_9,0.1,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,64,agent_6,0.270481,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,66,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,68,agent_3,0.255014,0.020053548738360405,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,68,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,70,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,70,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,72,agent_5,0.27172,0.04788096621632576,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,75,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,76,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,76,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,77,agent_5,0.27172,0.21366289258003235,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,78,agent_2,0.587706,0.39419639110565186,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,78,agent_3,0.255014,0.06685931235551834,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,82,agent_9,0.1,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,82,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,84,agent_9,0.1,0.030455207452178,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,84,agent_9,0.1,0.07209717482328415,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,88,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,91,agent_0,0.870639,0.44296354055404663,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,91,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,94,agent_0,0.870639,0.791861355304718,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,95,agent_9,0.1,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,95,agent_9,0.1,0.07275504618883133,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,95,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,96,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,96,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,98,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,99,agent_9,0.1,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,99,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
3,0,agent_5,0.27172,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,2,agent_2,0.587706,0.1486959457397461,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,3,agent_6,0.270481,0.06463441997766495,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,3,agent_8,0.632556,0.4138748049736023,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,4,agent_5,0.27172,0.24919471144676208,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,4,agent_2,0.587706,0.17341288924217224,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,4,agent_2,0.587706,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,5,agent_2,0.587706,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,5,agent_2,0.587706,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,5,agent_6,0.270481,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,5,agent_8,0.632556,0.5748307704925537,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,6,agent_2,0.587706,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,6,agent_8,0.632556,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,8,agent_0,0.870639,0.17252863943576813,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,8,agent_6,0.270481,0.14896260201931,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,9,agent_5,0.27172,0.17669297754764557,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,9,agent_5,0.27172,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,9,agent_5,0.27172,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,9,agent_5,0.27172,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,10,agent_2,0.587706,0.09152974933385849,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,10,agent_8,0.632556,0.4950302243232727,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,10,agent_6,0.270481,0.012092240154743195,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,11,agent_5,0.27172,0.07779891788959503,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,12,agent_0,0.870639,0.8357936143875122,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,12,agent_2,0.587706,0.47802209854125977,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,12,agent_3,0.255014,0.10512720793485641,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,12,agent_3,0.255014,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,12,agent_0,0.870639,0.7453863620758057,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,12,agent_0,0.870639,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,13,agent_1,0.672653,0.3121018707752228,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,13,agent_2,0.587706,0.5205274820327759,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,13,agent_2,0.587706,0.42729249596595764,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,13,agent_2,0.587706,0.1389181911945343,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,14,agent_2,0.587706,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,14,agent_4,0.593045,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,14,agent_6,0.270481,0.08160169422626495,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,14,agent_8,0.632556,0.24999377131462097,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,14,agent_2,0.587706,0.10501523315906525,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,14,agent_2,0.587706,0.2214781641960144,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,15,agent_8,0.632556,0.19849136471748352,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_0,0.870639,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_1,0.672653,0.18417078256607056,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_1,0.672653,0.0955604612827301,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_1,0.672653,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_6,0.270481,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_5,0.27172,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_2,0.587706,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
3,16,agent_2,0.587706,0.12219393253326416,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6
