platform,timestamp,author,author_toxicity,toxicity,knowledge,platform_model name,platform_network name,platform_interval time duration,platform_maximum post inactivity,platform_toxicity threshold,platform_full ban,platform_partial ban,platform_warning,platform_remove content,platform_network ban threshold,platform_network warning threshold,platform_moderation miss probability
2,1,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,2,agent_8,0.632556,0.37384286522865295,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,3,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,3,agent_8,0.632556,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,3,agent_8,0.632556,0.5018589496612549,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,3,agent_1,0.672653,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,4,agent_0,0.870639,0.8098418712615967,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,4,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,4,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,4,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,5,agent_8,0.632556,0.16990886628627777,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,5,agent_7,0.0959302,0.019648658111691475,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,6,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,6,agent_7,0.0959302,0.030835557729005814,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,7,agent_0,0.870639,0.15048016607761383,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,7,agent_4,0.593045,0.10633766651153564,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,7,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,8,agent_7,0.0959302,0.04410325363278389,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,8,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,8,agent_3,0.255014,0.0980788841843605,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,8,agent_1,0.672653,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,8,agent_0,0.870639,0.8227365612983704,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,8,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,10,agent_3,0.255014,0.2526477873325348,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,11,agent_1,0.672653,0.2163418084383011,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,11,agent_1,0.672653,0.01809038408100605,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,12,agent_7,0.0959302,0.015347587876021862,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,12,agent_7,0.0959302,0.017789602279663086,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,13,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,13,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,13,agent_3,0.255014,0.2531719505786896,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,14,agent_8,0.632556,0.5627387166023254,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,15,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,16,agent_0,0.870639,0.2624189853668213,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,16,agent_4,0.593045,0.10157103836536407,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,16,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,16,agent_7,0.0959302,0.07201538980007172,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,18,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,18,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,18,agent_7,0.0959302,0.026884347200393677,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,19,agent_7,0.0959302,0.08065185695886612,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,19,agent_7,0.0959302,0.01345094759017229,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,20,agent_0,0.870639,0.31109854578971863,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,20,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,21,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,21,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,22,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,22,agent_6,0.270481,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,22,agent_1,0.672653,0.03694445267319679,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_2,0.587706,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_6,0.270481,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_7,0.0959302,0.08937819302082062,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_8,0.632556,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_6,0.270481,0.17716141045093536,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,23,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,24,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,24,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,24,agent_8,0.632556,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,25,agent_1,0.672653,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,25,agent_6,0.270481,0.02970375306904316,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,25,agent_8,0.632556,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,27,agent_7,0.0959302,0.015354106202721596,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,28,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,28,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,28,agent_7,0.0959302,0.019651761278510094,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,29,agent_8,0.632556,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,29,agent_7,0.0959302,0.0747334212064743,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,30,agent_3,0.255014,0.0200121458619833,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,31,agent_1,0.672653,0.24914635717868805,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,31,agent_7,0.0959302,0.06965260207653046,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,31,agent_1,0.672653,0.009529421105980873,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,32,agent_3,0.255014,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,32,agent_5,0.27172,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,33,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,33,agent_4,0.593045,0.4334196150302887,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,33,agent_7,0.0959302,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,33,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,34,agent_1,0.672653,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,34,agent_4,0.593045,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,34,agent_6,0.270481,0.17184068262577057,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,35,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,35,agent_9,0.1,0.050726618617773056,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,35,agent_6,0.270481,0.02306661568582058,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,36,agent_0,0.870639,0.8338654637336731,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,37,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,37,agent_0,0.870639,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,38,agent_1,0.672653,0.4815080165863037,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,38,agent_1,0.672653,,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,38,agent_7,0.0959302,0.03770190849900246,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
2,38,agent_9,0.1,0.008246003650128841,0,Toxic Model 2,Network2,0.1,24.0,0.05,true,true,true,true,2,10,0.4
